Individual	Family	Age	Start	Start_lat	End	End_lat	Weight	Instar	Instar_edit																										
NG 4.1	4	3	N	U	G	R	NA	i	i																										
NG 4.1	4	4	N	U	G	R	0.775	i	i																										
NG 4.1	4	5	N	U	G	R	NA	i	i																										
NG 4.1	4	6	N	U	G	R	1.482	i	i																										
NG 4.1	4	7	N	U	G	R	NA	i	i																										
NG 4.1	4	8	N	U	G	R	3.832	i	i																										
NG 4.1	4	9	N	U	G	R	NA	i	i																										
NG 4.1	4	10	N	U	G	R	NA	i	i																										
NG 4.1	4	11	N	U	G	R	9.94	i	i																										
NG 4.1	4	12	N	U	G	R	NA	i	i																										
NG 4.1	4	13	N	U	G	R	NA	i	i																										
NG 4.1	4	14	N	U	G	R	NA	i	i																										
NG 4.1	4	15	N	U	G	R	NA	i	i																										
NG 4.1	4	16	N	U	G	R	107.275	i	i																										
NG 4.1	4	17	N	U	G	R	NA	i	i																										
NG 4.1	4	18	N	U	G	R	122.838	5	i5																										
NG 4.1	4	19	N	U	G	R	154.095	5	as																										
NG 4.1	4	20	N	U	G	R	NA	5	as																										
NG 4.1	4	21	N	U	G	R	273.764	5	as																										
NG 4.1	4	22	N	U	G	R	NA	5	as																										
NG 4.1	4	23	N	U	G	R	NA	5	as																										
NG 4.1	4	24	N	U	G	R	329.942	5	as																										
NG 4.1	4	25	N	U	G	R	NA	5	as																										
NG 4.1	4	P	N	U	G	R	290.314	P	P																										
NG 4.2	4	1	N	U	G	R	0.228	i	i																										
NG 4.2	4	2	N	U	G	R	NA	i	i																										
NG 4.2	4	3	N	U	G	R	NA	i	i																										
NG 4.2	4	4	N	U	G	R	1.063	i	i																										
NG 4.2	4	5	N	U	G	R	NA	i	i																										
NG 4.2	4	6	N	U	G	R	1.535	i	i																										
NG 4.2	4	7	N	U	G	R	NA	i	i																										
NG 4.2	4	8	N	U	G	R	4.884	i	i																										
NG 4.2	4	9	N	U	G	R	NA	i	i																										
NG 4.2	4	10	N	U	G	R	NA	i	i																										
NG 4.2	4	11	N	U	G	R	14.549	i	i																										
NG 4.2	4	12	N	U	G	R	NA	i	i																										
NG 4.2	4	13	N	U	G	R	NA	i	i																										
NG 4.2	4	14	N	U	G	R	NA	i	i																										
NG 4.2	4	15	N	U	G	R	NA	i	i																										
NG 4.2	4	16	N	U	G	R	121.505	i	i																										
NG 4.2	4	17	N	U	G	R	NA	i	i																										
NG 4.2	4	18	N	U	G	R	153.058	5	i5																										
NG 4.2	4	19	N	U	G	R	197.421	5	as																										
NG 4.2	4	20	N	U	G	R	NA	5	as																										
NG 4.2	4	21	N	U	G	R	293.291	5	as																										
NG 4.2	4	22	N	U	G	R	NA	5	as																										
NG 4.2	4	23	N	U	G	R	NA	5	as																										
NG 4.2	4	24	N	U	G	R	358.516	5	as																										
NG 4.2	4	P	N	U	G	R	273.475	P	P																										
NG 5.1	5	1	N	U	G	R	0.255	i	i																										
NG 5.1	5	2	N	U	G	R	NA	i	i																										
NG 5.1	5	3	N	U	G	R	NA	i	i																										
NG 5.1	5	4	N	U	G	R	0.588	i	i																										
NG 5.1	5	5	N	U	G	R	NA	i	i																										
NG 5.1	5	6	N	U	G	R	1.56	i	i																										
NG 5.1	5	7	N	U	G	R	NA	i	i																										
NG 5.1	5	8	N	U	G	R	4.931	i	i																										
NG 5.1	5	9	N	U	G	R	NA	i	i																										
NG 5.1	5	10	N	U	G	R	NA	i	i																										
NG 5.1	5	11	N	U	G	R	10.808	i	i																										
NG 5.1	5	12	N	U	G	R	NA	i	i																										
NG 5.1	5	13	N	U	G	R	NA	i	i																										
